person_id,postcode,state,gender,age
750-67-8428,2000,NSW,F,19
226-31-3081,2000,NSW,F,22
631-41-3108,2000,NSW,M,32
123-19-1176,2000,WA,M,32
373-73-7910,2000,WA,M,32
699-14-3026,2000,WA,M,32
355-53-5943,2000,WA,M,32
315-22-5665,2000,NSW,M,32
665-32-9167,2000,NSW,M,22
692-92-5582,2000,NSW,M,22
351-62-0822,2000,NSW,M,22
529-56-3974,2000,NSW,F,22
365-64-0515,2000,NSW,F,42
252-56-2699,2000,NSW,F,42
829-34-3910,2000,NSW,F,42
299-46-1805,2000,NSW,F,19
656-95-9349,2000,NSW,F,22
765-26-6951,822,NT,F,22
329-62-1586,822,NT,F,22
319-50-3348,822,NT,F,52
300-71-4605,822,NT,M,52
371-85-5789,822,NT,M,52
273-16-6619,822,NT,N,52
636-48-8204,822,NT,N,52
549-59-1358,822,NT,M,52
227-03-5010,822,NT,M,22
649-29-6775,822,NT,F,22
189-17-4241,822,NT,F,17
145-94-9061,822,NT,F,42
848-62-7243,822,NT,F,42
871-79-8483,2000,NSW,F,22
149-71-6266,2000,NSW,F,22
640-49-2076,2000,NSW,N,32
595-11-5460,2000,WA,M,32
183-56-6882,2000,WA,M,32
232-16-2483,2000,WA,M,32
129-29-8530,2000,WA,M,32
272-65-1806,2000,NSW,M,32
333-73-7901,2000,NSW,M,22
777-82-7220,2000,NSW,M,22
280-35-5823,2000,NSW,M,22
554-53-8700,2000,NSW,F,22
354-25-5821,2000,NSW,F,42
228-96-1411,2000,NSW,F,42
617-15-4209,2000,NSW,F,42
132-32-9879,2000,NSW,F,22
370-41-7321,2000,NSW,F,22
727-46-3608,822,NT,F,22
669-54-1719,822,NT,F,22
574-22-5561,822,NT,F,52
326-78-5178,822,NT,N,35
162-48-8011,822,NT,M,52
616-24-2851,822,NT,M,52
778-71-5554,822,NT,M,52
242-55-6721,822,NT,M,52
399-46-5918,822,NT,M,22
106-35-6779,822,NT,F,22
635-40-6220,822,NT,F,42
817-48-8732,822,NT,F,42
120-06-4233,822,NT,F,42
285-68-5083,2000,NSW,F,22
803-83-5989,2000,NSW,F,22
347-34-2234,2000,NSW,M,32
199-75-8169,2000,WA,M,32
853-23-2453,2000,WA,M,32
877-22-3308,2000,WA,N,33
838-78-4295,2000,WA,M,32
109-28-2512,2000,NSW,M,32
232-11-3025,2000,NSW,M,22
382-03-4532,2000,NSW,M,22
393-65-2792,2000,NSW,N,25
796-12-2025,2000,NSW,F,22
510-95-6347,2000,NSW,F,42
841-35-6630,2000,NSW,F,42
287-21-9091,2000,NSW,F,42
732-94-0499,2000,NSW,F,22
263-10-3913,2000,NSW,F,22
381-20-0914,822,NT,F,22
829-49-1914,822,NT,F,22
756-01-7507,822,NT,F,52
870-72-4431,822,NT,M,52
847-38-7188,822,NT,N,31
480-63-2856,822,NT,M,52
787-56-0757,822,NT,M,52
360-39-5055,822,NT,M,52
730-50-9884,822,NT,M,22
362-58-8315,822,NT,F,22
633-44-8566,822,NT,F,42
504-35-8843,822,NT,F,42
318-68-5053,822,NT,F,42
565-80-5980,2000,NSW,F,22
225-32-0908,2000,NSW,F,22
873-51-0671,2000,NSW,M,32
152-08-9985,2000,WA,M,32
512-91-0811,2000,WA,N,28
594-34-4444,2000,WA,M,16
766-85-7061,2000,WA,M,32
871-39-9221,2000,NSW,M,32
865-92-6136,2000,NSW,M,22
700-67-0000,2000,NSW,M,22
206-31-0000,2000,NSW,M,22
601-41-0000,2000,NSW,F,22
103-19-0000,2000,NSW,F,42
303-73-0000,2000,NSW,F,42
609-14-0000,2000,NSW,F,42
305-53-0000,2000,NSW,F,22
305-22-0000,2000,NSW,F,22
605-32-0000,822,NT,F,22
602-92-0000,822,NT,F,22
301-62-0000,822,NT,F,52
509-56-0000,822,NT,M,52
305-64-0000,822,NT,M,52
202-56-0000,822,NT,M,52
809-34-0000,822,NT,M,52
209-46-0000,822,NT,M,52
